,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
W3-2.0711.0911,G,,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.1006,S,6,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.1006,M,,,,2,,,,,,,,,,,,,,,,,,,
W3-1.0711.0931,S,2,1,,2,,,,,,,,,,,,,,,,,,,
W3-1.0711.0931,M,3,3,1,1,,,,,,,,,,,,,,,,,,,
W3-2.0711.0941,S,7,2,,1,,,,,,,,,,,,,,,,,,,
W3-2.0711.0941,M,,2,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.1001,S,,2,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.1001,M,,1,1,,,,,,,,,,,,,,,,,,,,
W1-1.0711.1001,G,,2,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0946,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0946,M,2,1,1,,,2,,,,,,,,,,,,,,,,,
W1-1.0711.0946,G,,2,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0836,S,1,1,,1,,,,,,,,,,,,,,,,,,,
W3-3.0711.0836,M,1,,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0936,S,5,,,2,,,,,,,,,,,,,,,,,,,
W3-3.0711.0936,L,,,,,,1,,,,,,,,,,,,,,,,,
W1-3.0711.0836,S,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0831,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0826,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0826,M,1,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0851,S,3,1,1,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0851,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.00941,S,1,2,,2,,,,,,,,,,,,,,,,,,,
W1-2.0711.00941,M,,1,1,,,,,,,,,,,,,,,,,,,,
W1-2.0711.00941,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.00941,G,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.1011,S,5,3,1,1,,,,,,,,,,,,,,,,,,,
W1-2.0711.1011,M,,,,,,,1,,,,,,,,,,,,,,,,
W1-3.0711.1006,S,8,2,1,,,1,,,,,,,,,,,,,,,,,
W1-3.0711.1006,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0711.1006,L,,3,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0821,E,,,,,,,,,,,,,,,,,,,,,,,
W2-3.0711.0906,S,3,,,,,,,,,,,,,,,,,,,,,,
W2-3.0711.0906,L,,1,1,,,,,,,,,,,,,,,,,,,,
W2-3.0711.0921,S,2,3,,1,,,,1,,,,,,,,,,,,,,,
W2-3.0711.0921,M,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0711.0836,S,,,,,,,1,,,,,,,,,,,,,,,,
W3-1.0711.0916,S,2,1,,3,,,,,,,,,,,,,,,,,,,
W3-1.0711.0916,M,,3,,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0841,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0711.1006,S,4,,,,1,,,,,,,,,,,,,,,,,,
W2-3.0711.1006,M,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0711.1006,G,1,,,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0826,E,,,,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0911,S,1,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0911,M,,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0856,S,6,,,,,1,,,,,,,,,,,,,,,,,
W2-1.0711.0846,S,2,,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0831,M,1,,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0841,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0841,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0856,S,,,1,6,,,,,,,,,,,,,,,,,,,
W3-1.0711.0831,S,,,,,1,,,,,,,,,,,,,,,,,,
W3-1.0711.0831,M,,3,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0926,S,5,2,,1,2,,,,,,,,,,,,,,,,,,
W3-2.0711.0926,G,,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0711.0851,S,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0711.0851,M,,,1,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0921,S,2,,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0921,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0854,S,7,2,,1,,2,,,,,,,,,,,,,,,,,
S3-2.0714.0854,M,2,,,,,,,,,,,,,,,,,,,,,,
S3-3.0714.0834,S,,,,1,,,,,,,,,,,,,,,,,,,
S3-3.0714.0834,M,2,8,,,,,,,,,,,,,,,,,,,,,
S3-3.0714.0834,L,,2,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0909,S,15,7,1,4,10,210,,,,,,,,,,,,,,,,,
S3-2.0714.0909,M,6,1,1,,,,,,,,,,,,,,,,,,,,
S3-3.0714.0819,M,,3,,,,,,,,,,,,,,,,,,,,,
S3-3.0714.0819,L,,2,,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0914,S,20,3,2,6,12,19,,,,,,,,,,,,,,,,,
S3-1.0714.0914,M,2,,,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0829,M,,3,,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0829,L,,2,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0824,S,1,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0824,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0824,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0924,S,11,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0924,M,,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0924,L,,1,1,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0844,S,2,1,,2,,,,,,,,,,,,,,,,,,,
S3-1.0714.0844,M,2,2,,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0844,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0839,S,2,,,1,,,,,,,,,,,,,3,,mites,,,,
S3-2.0714.0839,M,1,3,,1,,,,,,,,,,,,,,,,,,,
S3-3.0714.0904,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0944,S,17,1,1,,,2,,,,,,,,,,,,,,,,,
S2-1.0714.0944,M,,1,3,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0944,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0944,G,,,,,,,,,,2,,,,,,,,,,,,,
S2-1.0714.0944,S,14,1,2,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0944,M,1,1,2,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0949,S,5,6,,1,,,,,,,,,,,,,,,,,,,
S2-3.0714.0949,M,,,,1,,1,,,,,,,,,,,,,,,,,
S2-2.0714.1009,S,10,5,2,1,,1,,1,,,,,,,,,,,,,,,
S2-2.0714.1009,M,,1,,1,,1,,,,,,,,,,,,,,,,,
S2-2.0714.1009,L,,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0714.1004,S,2,1,1,,,,,,,,,,,,,,,,,,,,
S2-2.0714.1009,M,,,3,,,,,,,,,,,,,,,,,,,,
S2-2.0714.1009,G,,,,,,,,,,2,,,,,,,,,,,,,
S2-1.0714.0929,S,12,,,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0929,M,,1,2,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0929,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0714.0824,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0844,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0944,S,9,4,,,,,,,,,,,,,,,1,,arachnid,,,,
S1-1.0714.0944,M,,1,,,,,,,,,,,,,,,1,,arachnid,,,,
S2-3.0714.0819,S,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0819,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0904,S,8,4,,2,,,,,,,,,,,,,,,,,,,
S2-3.0714.0904,M,,,2,,1,,,,,,,,,,,,,,,,,,
S3-3.0714.0934,S,11,5,,1,21,53,,,,,,,,,,,,,,,,,
S3-3.0714.0934,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0954,S,1,,,,,,,1,,,,,,,,,,,,,,,
S1-2.0714.0954,M,,,4,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0931,S,3,,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0931,M,,,2,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0931,L,,1,1,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0916,S,4,2,,,,2,,,,,,,,,,,,,,,,,
W2-1.0711.0916,M,,,2,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0959,S,4,11,,4,,,,,,,,,,,,,,,,,,,
S3-1.0714.0959,M,3,1,2,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0919,S,7,1,,3,,,,,,,,,,,,,,,,,,,
S2-1.0714.08459,S,6,2,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0934,S,9,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0934,M,,1,2,,,1,,,,,,,,,,,,,,,,,
S2-3.0714.0934,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0934,G,,,,,,,,,,1,,,,,,,,,,,,,
S3-2.0714.0954,S,9,10,1,1,4,31,,,,,,,,,,,,,,,,,
S3-2.0714.0954,M,2,2,2,1,,,,,,,,,,,,,,,,,,,
S1-3.0714.0919,S,14,3,1,2,,4,,,,,,,,,,,,,,,,,
S1-3.0714.0919,M,,2,,,,2,,,,,,,,,,,,,,,,,
S1-2.0714.0939,S,4,2,1,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0939,M,1,1,4,,,,,,,,,,,,,,,,,,,,
S2-2.0714.0909,S,16,4,,1,,1,,,,,,,,,,,,,,,,,
S2-2.0714.0909,M,,1,1,,,,,,,,,,,,,,,,,,,,
S2-2.0714.0909,L,,,2,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0859,S,10,2,,3,4,6,1,,,,,,,,,,,,,,,,
S3-1.0714.0859,M,,1,1,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0834,S,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0834,M,,1,1,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0939,S,20,17,1,16,8,76,3,,,,,,,,,,,,,,,,
S3-2.0714.0939,M,4,3,1,,,,,,,,,,,,,,,,,,,,
S3-2.0714.0939,L,2,,,,,,,,,,,,,,,,,,,,,,
S3-2.0714.1009,S,11,42,,15,,32,,1,,,,,,,,,,,,,,,
S3-2.0714.1009,M,1,4,1,1,,1,,,,,,,,,,,,,,,,,
S3-1.0714.0924,S,11,7,2,3,5,17,,,,,,,,,,,,,,,,,
S3-1.0714.0924,M,4,,,,,,,,,,,,,,,,,,,,,,
S3-3.0714.0919,S,6,9,,4,11,56,,,,,,,,,,,1,,arachnid,,,,
S3-3.0714.0919,M,2,,1,1,,,,,,,,,,,,,,,,,,,
S3-3.0714.0849,S,15,,,7,4,77,,,,,,,,,,,,,,,,,
S3-3.0714.0849,M,5,2,2,,,,,,,,,,,,,,1,,arachnid,,,,
S1-1.0714.1014,S,9,3,,1,,,1,,,,,,,,,,,,,,,,
S1-1.0714.1014,M,1,,,1,,1,,,,,,,,,,,,,,,,,
S1-1.0714.1014,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0714.0954,S,15,,,1,,,,,,,,,,,,,,,,,,,
S2-2.0714.0954,M,1,4,1,,,,,,,,,,,,,,,,,,,,
S3-1.0714.0944,S,9,16,1,4,3,10,,,,,,,,,,,,,,,,,
S3-1.0714.0944,M,,,2,1,,1,,,,,,,,,,,,,,,,,
S2-2.0714.0854,S,4,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0714.0854,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0714.0949,S,10,15,1,3,3,20,,,,,,,,,,,,,,,,,
S3-3.0714.0949,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0914,S,16,8,,,,1,,,,,,,,,,,,,,,,,
S1-1.0714.0914,M,,1,1,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0914,L,,2,,,,,,,,,,,,,,,,,,,,,
S3-1.0714.1014,S,2,14,1,6,,6,,,,,,,,,,,,,,,,,
S3-1.0714.1014,M,1,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0714.1004,S,3,2,1,5,3,18,,,,,,,,,,,,,,,,,
S3-3.0714.1004,M,3,,2,1,,,,,,,,,,,,,,,,,,,
S3-2.0714.0924,S,11,7,1,8,4,96,2,,,,,,,,,,,,,,,,
S3-2.0714.0924,M,1,3,1,,,,,,,,,,,,,,,,,,,,
S1-2.0714.1009,S,8,1,,1,,2,1,,,,,,,,,,,,,,,,
S1-2.0714.1009,M,,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0714.1009,L,,,1,,,,2,,,,,,,,,,,,,,,,
S2-2.0714.0839,S,1,2,,2,,1,,,,,,,,,,,1,,,,,,
S1-3.0714.0819,S,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0914,S,8,1,,2,,,,,,,,,,,,,,,,,,,
S2-1.0714.0914,L,,,,,,,,,,,,,1,,,,,,,,,,
S2-1.0714.0829,S,1,4,,,,1,,,,,,,,,,,,,,,,,
S2-1.0714.0829,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.1001,S,5,2,1,,,,1,,,,,,,,,,,,,,,,
W2-1.0711.1001,M,,,3,,,,,,,,,,,,,,,,,,,,
W2-1.0711.1001,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0946,S,7,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0946,M,,,4,,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0918,S,11,1,,1,,1,,,,,,,,,,,,,,,,,
Z1-3.0716.0918,M,1,2,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0716.0918,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0716.1008,S,13,3,,,,,,1,,,,,,,,,,,,,,,
Z2-2.0716.1008,M,,3,10,,,,,,,,,,,,,,,,,,,,
Z2-2.0716.1008,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0716.1008,G,,2,,,,,,,,1,,,,,,,,,,,,,
Z1-3.0716.0818,S,1,1,,1,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0818,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0838,S,,2,,,1,,,,,,,,,,,,,,,,,,
Z1-1.0716.0843,S,4,20,,2,29,,,,,,,,,,,,,,,,,,
Z1-1.0716.0843,M,,3,,,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0848,S,1,4,,1,2,,,,,,,,,,,,,,,,,,
Z1-3.0716.0848,L,,,,,,,,,,,1,,,,,,,,,,,,
Z1-1.0716.0958,S,25,44,,5,,1,2,,,,,,1,,,,1,,arachnid,,,,
Z1-1.0716.0958,M,,,,,,,5,,,,,,,,,,,,,,,,
Z1-2.0716.0823,S,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0823,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0716.1013,S,3,1,1,1,,,,,,,,,,,,,,,,,,,
Z2-1.0716.1013,M,,3,4,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0959,S,8,1,2,1,,4,,,,,,,,,,,,,,,,,
S1-1.0714.0959,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0714.1004,S,11,1,1,,,4,1,,,,,,,,,,,,,,,,
S1-3.0714.1004,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0716.0953,S,7,,,2,,,,,,,,,,,,,,,,,,,
Z2-2.0716.0953,M,1,2,7,,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0933,S,4,3,,1,1,,,,,,,,,,,,,,,,,,
Z1-3.0716.0933,M,2,3,,,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0933,L,,3,,,,,,,,,,,,,,,,,,,,,
Z2-2.0716.0853,S,1,,1,1,,1,,,,,,,,,,,,,,,,,
Z2-2.0716.0853,M,,1,1,1,,,,,,,,,,,,,,,,,,,
Z1-3.0716.1003,S,7,2,,,,3,,,,,,,,,,,,,,,,,
Z1-3.0716.1003,M,,1,,,,1,1,,,,,,,,,,,,,,,,
Z1-1.0716.0943,S,12,51,,4,,1,8,,1,,,,,,,,,,,,,,
Z1-1.0716.0943,M,1,2,,1,,,,,1,,,,,,,,,,,,,,
Z1-1.0716.0928,S,25,64,,3,3,,2,,,,,,1,,,,,,,,,,
Z1-1.0716.0928,M,2,1,,1,,,1,1,,,,,,,,,,,,,,,
Z1-3.0716.0833,S,1,,,1,,1,,,,,,,,,,,,,,,,,
Z1-3.0716.0833,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0716.0828,S,,2,,,1,,,,,,,,,,,,,,,,,,
Z1-1.0716.0828,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0716.0913,S,24,88,,2,44,1,3,,,,,,,,,,,,,,,,
Z1-1.0716.0913,M,2,3,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0923,S,6,3,,1,6,,1,,,,,,,,,,1,,arachnid,,,,
Z1-2.0716.0923,M,,,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0923,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0716.1013,S,20,72,,3,,,1,1,,,,,,,,,2,,arachnid,,,,
Z1-1.0716.1013,M,,,,,,,1,,,,,,,,,,1,,arachnid,,,,
Z2-3.0716.0948,S,5,2,,3,,5,,,,,,,,,,,,,,,,,
Z2-3.0716.0948,M,,4,10,,,,,,,,,,,,,,,,,,,,
Z2-3.0716.0948,G,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0716.0913,S,5,3,1,6,,3,,,,,,,,,,,,,,,,,
Z3-1.0716.0913,M,,1,1,,,,,,,,1,,,,,,,,,,,,
Z3-1.0716.0913,L,,,2,,,,,,,,,,,,,,,,,,,,
Z2-3.0716.0933,S,1,3,1,3,,7,,,,,,,,,,,,,,,,,
Z2-3.0716.0933,M,,,6,,,1,,,,,,,,,,,,,,,,,
Z1-2.0716.0938,S,,3,,,,2,,,,,,,,,,,,,,,,,
Z1-2.0716.0938,M,,,2,1,,,1,,,,,,,,,,,,,,,,
Z1-2.0716.0938,L,,1,,,,1,,,,,,,,,,,,,,,,,
Z1-2.0716.0938,G,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0823,E,,,,,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0948,S,3,3,1,1,,3,,,,,,,,,,,,,,,,,
Z1-3.0716.0948,M,,4,,,,,2,,,,,,,,,,,,,,,,
Z1-3.0716.0948,G,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0908,S,6,3,,2,2,1,,,,,,,,,,,,,,,,,
Z1-2.0716.0908,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0854,S,5,,,1,,1,,,,,,,,,,,,,,,,,
S1-2.0714.0854,M,2,,,,,1,,,,,,,,,,,,,,,,,
S1-3.0714.0847,S,7,4,,,,,,,,,,,,,,,1,,arachnid,,,,
S1-3.0714.0847,M,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0847,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0824,S,,,1,,1,,,,,,,,,,,,,,,,,,
S1-1.0714.0859,S,18,4,,,,,,,,,,,,,,,1,,arachnid,,,,
S1-1.0714.0859,M,2,1,3,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0859,L,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0829,S,1,,,,,,,1,,,,,,,,,,,,,,,
S1-1.0714.0829,M,,2,,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0904,S,9,4,,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0904,M,,2,,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0904,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0923,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0923,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0716.0943,S,7,1,,2,,2,,,,,,,,,,,,,,,,,
Z3-1.0716.0943,M,,,2,1,,1,,,,,,,,,,,,,,,,,
Z3-3.0716.0818,S,,,,,,1,,,,,,,,,,,,,,,,,
Z3-3.0716.1003,S,11,4,1,2,,4,,2,,,,,,,,,,,,,,,
Z3-3.0716.1003,M,2,2,5,,,,,,,,,,,,,,,,,,,,
Z3-3.0716.1003,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0834,S,,1,,,,1,1,,,,,,,,,,,,,,,,
S1-3.0714.0834,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0908,S,3,,,,,1,,,,,,,,,,,,,,,,,
Z3-2.0716.0908,M,1,2,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0908,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0853,S,,1,,,,1,,,,,,,,,,,,,,,,,
Z3-2.0716.0853,M,,3,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0853,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0948,S,7,4,1,2,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0948,M,1,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0918,S,5,9,,2,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0918,M,1,1,1,,,1,,,,,,,,,,,,,,,,,
Z3-2.0716.0953,S,3,3,,1,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0953,M,,1,5,1,,1,,,,,,,,,,,,,,,,,
Z3-2.0716.0953,G,,,,,,,,,,1,,,,,,,,,,,,,
Z3-3.0716.0933,S,9,4,1,1,,2,,,,,,,,,,,,,,,,,
Z3-3.0716.0933,M,,1,7,,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0933,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0933,G,,1,,,,,,,,1,,,,,,,,,,,,,
Z3-1.0716.0843,S,,1,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0716.0843,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0716.0843,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0838,S,1,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0716.0838,M,,2,,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0953,S,9,6,,,,1,,,,,,,,,,,,,,,,,
Z1-2.0716.0953,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0953,L,,,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0716.0853,S,,,,1,2,,,,,,,,,,,,,,,,,,
Z1-2.0716.0853,M,,2,,,,,,,,,,,,,,,,,,,,,
Z2-2.0716.0823,S,,,,1,,,,,,,,,,,,,,,,,,,
Z2-2.0716.0823,L,,2,,,,,,,,,,,,,,,,,,,,,
Z2-1.0716.0958,S,2,3,,2,,3,,,,,,,,,,,,,,,,,
Z2-1.0716.0958,M,,2,7,,,1,,,,,,,,,,,,,,,,,
Z2-3.0716.0818,S,,,,,,,,,,,,,,,,,1,,,,,,
Z2-3.0716.0818,L,,3,,,,,,,,,,,,,,,,,,,,,
Z1-3.0716.0903,S,14,1,1,1,,1,,,,,,,,,,,,,,,,,
Z1-3.0716.0903,M,,1,,,1,,,,,,,,,,,,,,,,,,
Z1-3.0716.0903,L,,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.1016,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.1016,M,,1,3,,,,,,,,,,,,,,,,,,,,
W2-1.0711.1016,G,,2,,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0926,S,6,1,1,1,,1,,,,,,,,,,,,1,,,,,
W2-2.0711.0956,S,1,,,,,,,1,,,,,,,,,,,,,,,
W2-2.0711.0956,M,,,1,,,,,,,,,,,,,,,,,,,,
W3-2.0711.1011,S,4,,1,6,,,,,,,,,,,,,,,,,,,
W3-2.0711.1011,M,,2,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0849,S,4,1,,1,,,,,,,,,,,,,,,,,,,
S2-3.0714.0849,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0714.0849,L,,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0711.0901,S,2,2,,1,,,,,,,,,,,,,,,,,,,
W2-1.0711.0901,M,,,2,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0949,S,7,,,,,5,,,,,,,,,,,,,,,,,
S1-3.0714.0949,M,,,4,,,,,,,,,,,,,,,,,,,,
S1-2.0714.0839,S,,1,,,,,,,,,,,,,,,,,,,,,
W3-1.0711.1016,S,3,,,1,,1,,,,,,,,,,,,,,,,,
W3-1.0711.1016,M,,3,,2,,,,,,,,,,,,,,,,,,,
S2-1.0714.0959,S,6,1,1,,,,,,,,,,,,,,,,,,,,
S2-1.0714.0959,M,,,2,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0934,S,11,1,,,,1,,,,,,,,,,,,,,,,,
S1-3.0714.0934,M,,1,1,,,,,,,,,,,,,,,,,,,,
S1-3.0714.0934,L,,,2,,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0848,S,,5,,1,,,,,,,,,,,,,,,,,,,
Z3-3.0716.0848,M,,3,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0956,S,4,,,1,,,1,,,,,,,,,,,,,,,,
W3-2.0711.0956,M,1,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0941,S,,1,,1,,,,,,,,,,,,,,,,,,,
W2-2.0711.0941,M,,1,1,,,,,,,,,,,,,,,,,,,,
W2-2.0711.0941,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-1.0711.1001,S,1,,,1,,,,,,,,,,,,,,,,,,,
W3-1.0711.1001,M,,2,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0841,S,2,,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0841,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0714.0939,S,9,,,1,,1,,,,,,,,,,,,,,,,,
S2-2.0714.0939,M,,,2,,,,,,,,,,,,,,,,,,,,
S1-1.0714.0844,S,8,2,,,,,,1,,,,,,,,,,,,,,,
Z1-1.0716.0858,S,14,69,1,2,40,,,1,,,,,,,,,,,,,,,
Z1-2.0716.1008,S,6,4,,,1,,1,,,,,,,,,,1,,ARACHNID,,,,
Z1-2.0716.1008,M,1,,4,,,,,,,,,,,,,,,,,,,,
Z3-1.0716.0858,S,1,1,,,,1,,,,,,,,,,,,,,,,,
Z3-1.0716.0858,M,,1,2,,,,,,,,,,,,,,,,,,,,
Z3-1.0716.0858,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0716.1013,S,2,3,1,2,,4,,,,,,,,,,,,,,,,,
